epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47948,1.95603,4.13193,2.07296,0.0025,0.75,0.00674,0.00256,1.68163,4.62962,1.73707,2e-05,2e-05,2e-05
2,4.4792,2.00972,4.67319,1.92754,0.0025,0.75,0.00563,0.00219,1.72988,4.64773,1.74989,5.8812e-05,5.8812e-05,5.8812e-05
3,5.33619,2.03167,4.41743,1.9838,0.0025,0.75,0.00653,0.00379,1.69995,4.92567,1.93809,9.604e-05,9.604e-05,9.604e-05
4,6.39049,1.75792,4.7278,1.93902,0.0025,0.75,0.01128,0.0039,1.58758,4.82015,1.91061,0.000131684,0.000131684,0.000131684
5,7.22885,1.77491,4.30063,1.89254,0.00167,0.5,0.00769,0.00318,1.38417,4.61053,1.87543,0.000165744,0.000165744,0.000165744
6,8.13446,1.85251,4.26466,1.84339,0.00167,0.5,0.00668,0.00297,1.27719,4.46043,1.78175,0.00019822,0.00019822,0.00019822
7,8.91588,1.76961,4.31062,1.79519,0.0025,0.75,0.01286,0.00962,1.14336,4.23347,1.57488,0.000229112,0.000229112,0.000229112
8,9.99557,1.632,4.1457,1.60657,0.0025,0.75,0.01336,0.01033,1.15778,4.19419,1.46917,0.00025842,0.00025842,0.00025842
9,10.8181,1.61959,3.80954,1.70161,0.00333,1,0.01763,0.01125,1.24476,4.12948,1.49237,0.000286144,0.000286144,0.000286144
10,11.7289,1.55316,3.30199,1.62509,0.00333,1,0.02811,0.01394,1.41096,4.07323,1.51387,0.000312284,0.000312284,0.000312284
11,13.2081,1.32081,3.84254,1.37716,0.00333,1,0.02826,0.01379,1.46607,4.25255,1.63751,0.00033684,0.00033684,0.00033684
12,13.9161,1.55004,3.67713,1.5744,0.00333,1,0.02826,0.01379,1.46607,4.25255,1.63751,0.000359812,0.000359812,0.000359812
13,14.6952,1.38491,3.49686,1.48315,0.00333,1,0.10105,0.03624,1.53722,4.07934,1.56917,0.0003812,0.0003812,0.0003812
14,15.6947,1.35542,2.89855,1.32612,0.00333,1,0.20199,0.0611,1.51081,3.88074,1.50621,0.000401004,0.000401004,0.000401004
15,16.5695,1.28377,2.82784,1.33155,0.00333,1,0.20199,0.0611,1.51081,3.88074,1.50621,0.000419224,0.000419224,0.000419224
16,17.3209,1.5348,3.14341,1.60246,0.00333,1,0.25135,0.10819,1.49441,3.98651,1.52724,0.00043586,0.00043586,0.00043586
17,18.1963,1.37926,2.80351,1.34646,0.00333,1,0.25114,0.08346,1.50864,4.05882,1.63832,0.000450912,0.000450912,0.000450912
18,18.9337,1.49942,2.90555,1.55871,0.00333,1,0.25114,0.08346,1.50864,4.05882,1.63832,0.00046438,0.00046438,0.00046438
19,19.9149,1.29981,2.28138,1.30918,0.00333,1,0.17158,0.0731,1.6858,3.97502,1.72104,0.000476264,0.000476264,0.000476264
20,20.738,1.16728,2.37277,1.30221,0.00333,1,0.17158,0.0731,1.6858,3.97502,1.72104,0.000486564,0.000486564,0.000486564
21,21.4953,1.31892,2.41929,1.33133,0.00333,1,0.12766,0.05304,1.55442,4.11744,1.6724,0.00049528,0.00049528,0.00049528
22,22.3003,1.14734,2.37259,1.34515,0.00333,1,0.12766,0.05304,1.55442,4.11744,1.6724,0.000502412,0.000502412,0.000502412
23,23.1084,1.13865,2.48334,1.23647,0.00333,1,0.13754,0.05504,1.66611,3.70068,1.61331,0.00050796,0.00050796,0.00050796
