epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,23.8921,1.2756,1.95548,1.25959,0.00333,1,0.13754,0.05504,1.66611,3.70068,1.61331,0.000511924,0.000511924,0.000511924
25,24.6295,1.16278,2.26366,1.2078,0.00333,1,0.39905,0.1957,1.61443,3.44419,1.55023,0.000514304,0.000514304,0.000514304
26,25.5932,1.30927,2.09593,1.35923,0.00333,1,0.39905,0.1957,1.61443,3.44419,1.55023,0.0005151,0.0005151,0.0005151
27,26.3815,1.21834,2.0459,1.26117,0.00333,1,0.39905,0.1957,1.61443,3.44419,1.55023,0.000514312,0.000514312,0.000514312
28,27.2949,1.27878,2.11949,1.29718,0.00333,1,0.32441,0.16199,1.55569,3.49032,1.50359,0.00051194,0.00051194,0.00051194
29,28.1384,1.2556,2.06939,1.2422,0.00333,1,0.32441,0.16199,1.55569,3.49032,1.50359,0.000507984,0.000507984,0.000507984
30,28.8691,1.13362,1.8426,1.28873,0.00333,1,0.27518,0.13759,1.65979,3.58207,1.60196,0.000502444,0.000502444,0.000502444
31,29.6551,1.18798,2.15604,1.24047,0.00333,1,0.27518,0.13759,1.65979,3.58207,1.60196,0.00049532,0.00049532,0.00049532
32,30.4947,1.13736,1.84045,1.19465,0.00333,1,0.27518,0.13759,1.65979,3.58207,1.60196,0.000486612,0.000486612,0.000486612
33,31.2344,1.21788,1.74643,1.23566,0.00333,1,0.58131,0.29419,1.62811,3.45268,1.64092,0.00047632,0.00047632,0.00047632
34,32.0909,1.31894,2.26282,1.42026,0.00333,1,0.58131,0.29419,1.62811,3.45268,1.64092,0.000464444,0.000464444,0.000464444
35,32.8876,1.10194,1.95954,1.16966,0.00333,1,0.58131,0.29419,1.62811,3.45268,1.64092,0.000450984,0.000450984,0.000450984
36,33.6857,1.07199,2.22606,1.24212,1,0.48586,0.995,0.53869,1.68605,2.97572,1.74886,0.00043594,0.00043594,0.00043594
37,34.5743,0.84374,1.48455,1.1045,1,0.48586,0.995,0.53869,1.68605,2.97572,1.74886,0.000419312,0.000419312,0.000419312
38,35.4585,1.03111,1.57976,1.19618,1,0.48586,0.995,0.53869,1.68605,2.97572,1.74886,0.0004011,0.0004011,0.0004011
39,36.275,0.95445,2.37021,1.08787,1,0.80803,0.995,0.43067,1.72162,2.75731,1.8546,0.000381304,0.000381304,0.000381304
40,37.1193,1.07658,1.50437,1.19353,1,0.80803,0.995,0.43067,1.72162,2.75731,1.8546,0.000359924,0.000359924,0.000359924
41,49.7055,0.9576,2.08391,1.14943,1,0.80803,0.995,0.43067,1.72162,2.75731,1.8546,0.00033696,0.00033696,0.00033696
42,51.1474,1.01701,2.16257,1.14126,1,0.89245,0.995,0.49299,1.69847,2.69748,1.83947,0.000312412,0.000312412,0.000312412
43,51.9445,0.94,1.9235,1.09662,1,0.89245,0.995,0.49299,1.69847,2.69748,1.83947,0.00028628,0.00028628,0.00028628
44,52.7097,1.13453,2.24085,1.23738,1,0.89245,0.995,0.49299,1.69847,2.69748,1.83947,0.000258564,0.000258564,0.000258564
45,53.4597,1.00384,1.90723,1.09043,1,0.89245,0.995,0.49299,1.69847,2.69748,1.83947,0.000229264,0.000229264,0.000229264
46,54.1871,1.12532,2.13226,1.193,1,0.92484,0.995,0.47917,1.64301,2.69936,1.76342,0.00019838,0.00019838,0.00019838
47,54.9211,0.9723,1.88902,1.0889,1,0.92484,0.995,0.47917,1.64301,2.69936,1.76342,0.000165912,0.000165912,0.000165912
48,55.7152,1.07775,1.95941,1.23274,1,0.92484,0.995,0.47917,1.64301,2.69936,1.76342,0.00013186,0.00013186,0.00013186
49,56.4133,1.13102,1.99403,1.13185,1,0.92484,0.995,0.47917,1.64301,2.69936,1.76342,9.6224e-05,9.6224e-05,9.6224e-05
50,57.2449,1.40559,2.49915,1.2816,1,0.9657,0.995,0.59318,1.63392,2.48619,1.70597,5.9004e-05,5.9004e-05,5.9004e-05
